date,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2022-12-31 19:00:00,3,934.6,0.0,25.36,103.0,9.18,45.92,66.32,10.64
2022-12-31 20:00:00,3,1041.41,0.0,30.85,90.12,8.23,48.32,68.37,10.26
2022-12-31 21:00:00,3,974.66,0.0,26.39,87.98,7.75,46.84,66.37,9.12
2022-12-31 22:00:00,3,934.6,0.0,21.42,85.12,7.63,48.65,68.36,9.12
2022-12-31 23:00:00,4,1041.41,0.0,22.62,73.67,8.34,55.63,76.53,10.26
2023-01-01 00:00:00,4,1308.44,0.0,29.13,57.94,10.25,70.57,93.69,12.29
2023-01-01 01:00:00,5,1735.69,0.0,42.16,38.62,12.99,95.52,121.62,14.95
2023-01-01 02:00:00,5,2216.34,0.25,61.69,20.21,15.26,119.01,147.38,18.24
2023-01-01 03:00:00,5,3097.53,13.08,81.57,2.1,19.07,154.82,190.9,25.33
2023-01-01 04:00:00,5,3845.21,45.15,77.46,7.6,22.89,174.12,221.69,32.42
2023-01-01 05:00:00,5,4165.65,58.11,79.51,17.17,26.23,182.09,241.82,41.54
2023-01-01 06:00:00,5,3471.37,37.1,80.88,40.41,27.66,166.93,234.2,39.52
2023-01-01 07:00:00,5,1335.14,9.05,36.33,84.4,41.48,77.25,135.81,13.55
2023-01-01 08:00:00,4,767.71,4.36,20.73,101.57,45.78,56.09,109.22,6.97
2023-01-01 09:00:00,3,580.79,2.93,15.59,107.29,45.3,44.92,93.93,5.0
2023-01-01 10:00:00,3,514.03,2.37,14.05,107.29,39.58,35.27,80.37,4.31
2023-01-01 11:00:00,3,540.73,2.26,16.45,103.0,34.81,33.46,77.64,4.43
2023-01-01 12:00:00,3,567.44,1.61,20.05,94.41,30.99,32.77,77.68,4.43
2023-01-01 13:00:00,3,660.9,0.37,28.45,77.96,28.37,33.73,79.89,5.0
2023-01-01 14:00:00,3,720.98,0.0,31.53,67.95,24.08,34.32,80.64,5.83
2023-01-01 15:00:00,3,754.36,0.0,30.16,65.8,18.84,37.17,83.74,7.73
2023-01-01 16:00:00,4,1241.68,0.02,46.61,45.42,17.4,59.96,111.9,16.09
2023-01-01 17:00:00,5,2216.34,1.65,76.09,13.41,20.27,107.16,168.19,29.64
2023-01-01 18:00:00,5,3524.78,17.88,90.48,0.42,25.51,179.43,250.23,44.08
2023-01-01 19:00:00,5,6141.66,73.31,97.33,0.0,32.9,328.75,422.31,60.8
2023-01-01 20:00:00,5,9185.79,144.84,102.82,0.0,37.19,511.68,629.8,66.88
2023-01-01 21:00:00,5,10253.91,168.09,102.82,0.0,39.1,579.19,704.17,67.89
2023-01-01 22:00:00,5,7797.24,116.23,89.11,0.0,36.72,441.16,546.04,60.8
